label,pred,score
1,0.99786025,1
1,0.90753907,1
1,0.95233923,1
1,0.99967587,1
1,0.98985475,1
1,0.9925127,1
1,0.99957854,1
1,0.999236,1
1,0.9957788000000001,1
1,0.9977968,1
1,0.9094504000000001,1
1,0.99017334,1
1,0.9990752,1
1,0.9983924000000001,1
1,0.9994646999999999,1
1,0.9970427,1
1,0.998936,1
1,0.9959998,1
1,0.99392265,1
1,0.99763715,1
1,0.8474019,1
1,0.9968072,1
1,0.9982199,1
1,0.9978877,1
1,0.9981589,1
1,0.9980161,1
1,0.9951146999999999,1
1,0.99631774,1
1,0.95984054,1
1,0.9966709999999999,1
1,0.99748373,1
1,0.99779177,1
1,0.99825996,1
1,0.99252313,1
1,0.90890795,1
1,0.9998437,1
1,0.96444607,1
1,0.9997029000000001,1
1,0.99980265,1
1,0.99602604,1
1,0.88864607,1
1,0.9868001000000001,1
1,0.99790645,1
1,0.9831751,1
1,0.9992478000000001,1
1,0.99885416,1
1,0.99867874,1
1,0.99845624,1
1,0.99864596,1
1,0.79364735,1
1,0.99919134,1
1,0.9951539,1
1,0.9972076999999999,1
1,0.9462891,1
1,0.9655636999999999,1
1,0.99851733,1
1,0.99921966,1
1,0.99923575,1
1,0.9981912000000001,1
1,0.9999571,1
1,0.9900148999999999,1
1,0.99232507,1
1,0.99888796,1
1,0.9973488000000001,1
1,0.9935488000000001,1
1,0.9972542999999999,1
1,0.99980336,1
1,0.9116101999999999,1
1,0.9798677,1
1,0.99987876,1
1,0.85116,1
1,0.9864129,1
1,0.8617401,1
1,0.99983144,1
1,0.9998209000000001,1
1,0.9975736999999999,1
1,0.99892336,1
1,0.99863905,1
1,0.99571806,1
1,0.99665064,1
1,0.99615556,1
1,0.9995049000000001,1
1,0.99678075,1
1,0.99755776,1
1,0.99992967,1
1,0.9971214,1
1,0.75779086,1
1,0.71071595,1
1,0.99076754,1
1,0.96057254,1
1,0.8612890999999999,1
1,0.9901994000000001,1
1,0.9963021000000001,1
1,0.99988484,1
1,0.90863043,1
1,0.9872579,1
1,0.99702805,1
1,0.99195015,1
1,0.93316567,1
1,0.999951,1
1,0.9987645,1
1,0.9943434000000001,1
1,0.99804425,1
1,0.9963613000000001,1
1,0.99860233,1
1,0.9993042,1
1,0.9991898000000001,1
1,0.99818295,1
1,0.998892,1
1,0.99867696,1
1,0.99767107,1
1,0.9219533000000001,1
1,0.99937207,1
1,0.9956078000000002,1
1,0.99871254,1
1,0.99979633,1
1,0.99456906,1
1,0.9987651,1
1,0.99768615,1
1,0.9954295,1
1,0.99831414,1
1,0.9930921999999999,1
1,0.9980629999999999,1
1,0.99442416,1
1,0.9946195,1
1,0.9974957,1
