label,pred
1,3.83E-12
1,7.93E-11
1,0.99992305
1,5.43E-07
1,1.05E-06
1,1.71E-08
1,5.61E-05
1,1.71E-07
1,1.70E-10
1,4.99E-11
1,2.16E-10
1,2.76E-13
1,5.15E-07
1,0.99999064
1,5.70E-09
1,0.9999973
1,6.23E-08
1,4.16E-10
1,0.9999967
1,3.48E-07
1,0
1,0.99999696
1,1.04E-09
1,0
1,7.01E-18
1,0.999953
1,5.06E-17
1,0.9836247
1,0.9999961
1,0.99997777
1,0.99999624
1,3.96E-09
1,0.9999842
1,1.15E-07
1,5.87E-12
1,2.01E-11
1,3.18E-13
1,0
1,8.21E-11
1,6.53E-09
1,5.28E-11
1,2.00E-12
1,0.8112667
1,1.37E-10
1,0.99381274
1,0.99999994
1,0.99779713
1,0.99975204
1,8.44E-08
1,0.9986492
1,4.37E-06
1,1.04E-08
1,0.000448931
1,0
1,0
1,0.94982547
1,7.91E-33
1,0.99997026
1,1.69E-13
1,0.9997431
1,0.99999994
1,0.99996287
1,0.9999476
1,0.9999767
1,0.99999946
1,1.26E-08
1,2.67E-06
1,1.25E-07
1,0.99999994
1,1.02E-07
1,0.9999909
1,1.92E-19
1,5.71E-11
1,0.99999946
1,7.32E-11
1,8.08E-13
1,9.12E-07
1,8.75E-08
1,0.9994472
1,1.65E-17
1,2.40E-16
1,0.99940455
1,8.39E-10
1,8.60E-09
1,0
1,0.99895036
1,6.73E-08
1,1.74E-09
1,8.93E-10
1,5.73E-13
1,1.54E-08
1,1.64E-10
1,0.03984454
1,0.9999816
1,0.9999899
1,4.63E-08
1,0.99993235
1,7.55E-08
1,0.99955755
1,3.46E-12
1,0.99996287
1,0.21517624
1,6.08E-11
1,6.20E-11
1,0.008593918
1,0.9999998
1,3.61E-15
1,7.95E-09
1,0.999994
1,0.9995921
1,1.07E-07
