label,prob,pred
1,0.70055497,1
1,0.23628768,0
1,0.60465217,1
1,0.45936814,0
1,0.66270304,1
1,0.88743323,1
1,0.81985694,1
1,0.6776973000000001,1
1,0.59222245,1
1,0.6095944999999999,1
1,0.5137701,1
1,0.61257356,1
1,0.5411109000000001,1
1,0.42148727,0
1,0.5466451999999999,1
1,0.40721620000000003,0
1,0.69630927,1
1,0.5396801999999999,1
1,0.6415295999999999,1
1,0.54236776,1
1,0.51197696,1
1,0.5367552,1
1,0.609775,1
1,0.89999163,1
1,0.6039861,1
1,0.655592,1
1,0.6054713,1
1,0.6209403,1
1,0.66245896,1
1,0.62270623,1
1,0.6021709,1
1,0.7532310000000001,1
1,0.78297967,1
1,0.7504359,1
1,0.9059283000000001,1
1,0.70617574,1
1,0.5235991,1
1,0.5314778,1
1,0.5249951,1
1,0.77578837,1
1,0.678239,1
1,0.75522304,1
1,0.7045291,1
1,0.614043,1
1,0.5786918000000001,1
1,0.73216355,1
1,0.61630696,1
1,0.5316318,1
1,0.73225296,1
1,0.89954096,1
1,0.75625575,1
1,0.5468595,1
1,0.8824301999999999,1
1,0.88829505,1
1,0.8883247,1
1,0.89454114,1
1,0.89992446,1
1,0.8896915000000001,1
1,0.90810114,1
1,0.8938588,1
1,0.90991163,1
1,0.906315,1
1,0.8916851,1
1,0.86205596,1
1,0.8878683,1
1,0.8958378,1
1,0.88819814,1
1,0.88197136,1
1,0.8972880999999999,1
1,0.8856861999999999,1
1,0.8914109,1
1,0.8946777,1
1,0.8791235999999999,1
1,0.6019682,1
1,0.5529835999999999,1
1,0.6464536999999999,1
1,0.52725995,1
1,0.7135128000000001,1
1,0.82067096,1
1,0.52813137,1
1,0.54162544,1
1,0.5607198,1
1,0.5458352,1
1,0.5918627,1
1,0.6812895999999999,1
1,0.5351876999999999,1
1,0.6703199000000001,1
1,0.60526717,1
1,0.5732028,1
1,0.17545999999999998,0
1,0.5135711,1
1,0.5964484999999999,1
1,0.591799,1
1,0.8658816999999999,1
1,0.6203739,1
1,0.58998525,1
1,0.56339896,1
1,0.87518746,1
1,0.58199614,1
1,0.6730965999999999,1
1,0.55693924,1
1,0.48684272,0
1,0.47595954,0
1,0.56465197,1
1,0.7962319999999999,1
1,0.6646783,1
1,0.5368688,1
1,0.68035585,1
1,0.8846031999999999,1
1,0.8968511999999998,1
1,0.5085319,1
1,0.54699236,1
1,0.80386686,1
1,0.8996654000000001,1
1,0.89516956,1
1,0.5440049,1
1,0.50824136,1
1,0.58550423,1
1,0.6450545,1
1,0.88124293,1
1,0.60107654,1
1,0.61262214,1
1,0.6058494000000001,1
1,0.61563003,1
1,0.58756346,1
1,0.5227353,1
1,0.5651584,1
1,0.5560823,1
1,0.51375824,1
1,0.70472866,1
1,0.6096704000000001,1
1,0.88924885,1
1,0.9098968000000001,1
1,0.89867973,1
1,0.6203814999999999,1
1,0.70545423,1
1,0.6246538,1
1,0.56195456,1
1,0.7056637,1
1,0.7234883000000001,1
1,0.65935725,1
1,0.61032194,1
1,0.7138201999999999,1
1,0.90330064,1
1,0.6206161,1
1,0.6108994000000001,1
1,0.52032304,1
1,0.5857201999999999,1
1,0.5984764,1
1,0.8816046999999999,1
1,0.66009694,1
1,0.5762301,1
1,0.5750435,1
1,0.5953041,1
1,0.61036974,1
1,0.75848675,1
1,0.6267312,1
1,0.5361518,1
1,0.54638004,1
1,0.752505,1
1,0.62001526,1
1,0.6235609000000001,1
1,0.8812118,1
1,0.5384055,1
1,0.8002372,1
1,0.5219494,1
1,0.52612853,1
1,0.54528046,1
1,0.6499085,1
1,0.6168498,1
1,0.84681153,1
1,0.5453584,1
1,0.6210753999999999,1
1,0.6204834,1
1,0.6991734000000001,1
1,0.59097475,1
1,0.58983666,1
1,0.61092097,1
1,0.74387795,1
1,0.6043265,1
1,0.90584534,1
1,0.54168165,1
1,0.53630126,1
1,0.6041937,1
1,0.87279636,1
1,0.5722482,1
1,0.61220866,1
1,0.6196176,1
1,0.6038139,1
1,0.90626305,1
1,0.60124433,1
1,0.8654886,1
1,0.5927714,1
1,0.5305616999999999,1
1,0.5848384,1
1,0.52930516,1
1,0.5305185,1
1,0.6201948,1
1,0.5802608,1
1,0.61680394,1
1,0.5308593,1
1,0.6543854,1
1,0.5685118,1
1,0.56187797,1
1,0.5817985999999999,1
1,0.5786765,1
1,0.12730566,0
1,0.5948531,1
1,0.7860626000000001,1
1,0.8862556,1
1,0.52677745,1
1,0.89335567,1
1,0.5251132,1
1,0.7589414000000001,1
1,0.54052144,1
1,0.5746972,1
1,0.5131308,1
1,0.5204031,1
1,0.69906753,1
1,0.6792364000000001,1
1,0.6958898,1
1,0.6916654999999999,1
1,0.6925493,1
1,0.6183784999999999,1
1,0.626562,1
1,0.5949038000000001,1
1,0.5839929,1
1,0.53065175,1
1,0.64580053,1
1,0.5772683000000001,1
1,0.8893573,1
1,0.53950495,1
1,0.583889,1
1,0.5310444999999999,1
1,0.51185954,1
1,0.62248296,1
1,0.5956961999999999,1
1,0.5079832000000001,1
1,0.59950846,1
1,0.6421614999999999,1
1,0.6616546,1
1,0.6457073,1
1,0.5218765000000001,1
1,0.89291227,1
1,0.622954,1
1,0.56690216,1
1,0.59971017,1
1,0.5913729,1
1,0.5202190999999999,1
1,0.5945140999999999,1
1,0.73592764,1
1,0.5253999,1
1,0.5234132,1
1,0.80936456,1
1,0.61388594,1
1,0.88211894,1
1,0.24154478,0
1,0.592248,1
1,0.52966744,1
1,0.529142,1
1,0.5102747999999999,1
1,0.61420417,1
1,0.8113241,1
1,0.9036712,1
1,0.7921767,1
1,0.647568,1
1,0.5258875,1
1,0.50009453,1
1,0.63629603,1
1,0.6216702,1
1,0.60820025,1
1,0.52221847,1
1,0.6044136,1
1,0.5695187,1
1,0.75206065,1
1,0.5599341,1
1,0.6457736,1
1,0.55595917,1
1,0.5642319,1
1,0.5777626,1
1,0.5562348000000001,1
1,0.55998963,1
1,0.5229983,1
1,0.55858195,1
1,0.53065753,1
1,0.56037897,1
1,0.6297465999999999,1
1,0.56800526,1
1,0.64188564,1
1,0.53743345,1
1,0.56334555,1
1,0.8193103,1
1,0.56015724,1
1,0.121303745,0
1,0.5531111999999999,1
1,0.55616105,1
1,0.61708754,1
1,0.6118496999999999,1
1,0.61068195,1
1,0.6124911999999999,1
1,0.61218053,1
1,0.6406378,1
